Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
10,NOH,Austin Rivers,Duke,9,588,0.418,0.35,0.646,24.4,9.1,2.1,2.3,12.7,0.043,-3,-3.6,2012
10,POR,CJ McCollum,Lehigh,8,528,0.455,0.398,0.826,31.2,18.9,3.4,3.3,36.7,0.107,1.2,13.3,2013
10,PHI,Elfrid Payton,Louisiana,7,450,0.45,0.289,0.63,28.5,10.9,4.3,6.2,15.9,0.06,-0.8,3.8,2014
10,MIA,Justise Winslow,Duke,6,267,0.411,0.324,0.64,27.5,8.8,5.3,2.6,7,0.046,-2.1,-0.2,2015
10,MIL,Thon Maker,,5,263,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1,2016
10,SAC,Zach Collins,Gonzaga,3,154,0.444,0.324,0.722,17.5,5.7,4,0.9,3.9,0.069,-2.6,-0.4,2017
10,PHI,Mikal Bridges,Villanova,3,227,0.497,0.376,0.83,30,10.2,3.8,2,15.7,0.111,0.7,4.7,2018
11,IND,Jerryd Bayless,Arizona,11,586,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1,2008
11,NJN,Terrence Williams,Louisville,4,153,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6,2009
11,NOH,Cole Aldrich,Kansas,8,339,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,0.1,1.8,2010
11,GSW,Klay Thompson,Washington State,8,615,0.459,0.419,0.848,33.1,19.5,3.5,2.3,46.8,0.11,0.7,14.2,2011
11,POR,Meyers Leonard,Illinois,9,447,0.482,0.39,0.809,16,5.6,3.9,0.9,15.5,0.104,-1.4,1,2012
11,PHI,Michael Carter-Williams,Syracuse,8,391,0.402,0.255,0.706,25.3,10.3,4.4,4.4,6.6,0.032,-1.2,1.9,2013
11,DEN,Doug McDermott,Creighton,7,476,0.478,0.407,0.824,20.6,9,2.4,0.9,17.7,0.087,-1.8,0.6,2014
11,IND,Myles Turner,Texas,6,389,0.487,0.352,0.77,28.6,12.7,6.6,1.2,29.7,0.128,0.5,7.1,2015
11,ORL,Domantas Sabonis,Gonzaga,5,353,0.525,0.321,0.725,27.4,13.6,8.7,3.3,27.5,0.137,1.3,8,2016
11,CHO,Malik Monk,Kentucky,4,233,0.403,0.339,0.843,17.8,9.1,2,1.8,2,0.023,-2.7,-0.7,2017
11,CHO,Shai Gilgeous-Alexander,Kentucky,3,187,0.482,0.373,0.805,30.9,16.3,4.3,3.8,13,0.108,1.3,4.8,2018
12,SAC,Jason Thompson,Rider University,8,588,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4,2008
12,CHA,Gerald Henderson,Duke,8,535,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-1.8,0.6,2009
12,MEM,Xavier Henry,Kansas,5,185,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7,2010
12,UTA,Alec Burks,Colorado,10,544,0.422,0.373,0.796,22.2,10.5,3.3,1.9,20,0.079,-0.9,3.4,2011
12,HOU,Jeremy Lamb,UConn,9,517,0.444,0.344,0.858,21.2,10.4,3.7,1.6,25.5,0.112,0.8,7.6,2012
12,OKC,Steven Adams,Pitt,8,588,0.591,0.077,0.548,26.9,9.6,7.7,1.2,49.1,0.149,0.3,9.1,2013
12,ORL,Dario Šarić,,5,356,0.441,0.357,0.838,25.2,11.7,5.9,2,16.4,0.088,-0.9,2.6,2014
12,UTA,Trey Lyles,Kentucky,6,374,0.435,0.341,0.705,17.9,7.3,4.2,1,10.9,0.079,-1.2,1.3,2015
12,UTA,Taurean Prince,Baylor,5,301,0.411,0.37,0.823,25.8,11.3,4.2,1.9,6.1,0.038,-1.9,0.1,2016
12,DET,Luke Kennard,Duke,4,227,0.449,0.413,0.86,22.3,9.4,2.7,2,9.7,0.092,-0.7,1.6,2017
12,LAC,Miles Bridges,Michigan State,3,211,0.461,0.354,0.816,26.6,10.8,5.1,1.7,8.8,0.075,-1.1,1.3,2018
13,POR,Brandon Rush,Kansas,9,481,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.4,1.6,2008
13,IND,Tyler Hansbrough,UNC,7,428,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2,0,2009
13,TOR,Ed Davis,UNC,11,691,0.566,0,0.585,19.6,6.2,6.6,0.8,42.8,0.151,-0.2,6.1,2010
13,PHO,Markieff Morris,Kansas,10,698,0.446,0.341,0.776,25,11,5.3,1.6,26.7,0.074,-1.4,2.7,2011
13,PHO,Kendall Marshall,UNC,4,160,0.399,0.37,0.611,19.3,5,1.6,4.9,1,0.015,-3.5,-1.1,2012
13,DAL,Kelly Olynyk,Gonzaga,8,570,0.478,0.367,0.783,22.2,10.1,5.1,2,33.6,0.128,0.9,9,2013
13,MIN,Zach LaVine,UCLA,7,411,0.458,0.385,0.824,31.4,19.1,3.8,3.8,17.8,0.066,0.1,6.7,2014
13,PHO,Devin Booker,Kentucky,6,409,0.455,0.352,0.87,33.6,23,3.7,4.6,22.3,0.078,-0.1,6.4,2015
13,PHO,Georgios Papagiannis,,2,39,0.514,0,0.857,12.2,4.1,3.2,0.7,0.4,0.044,-3.9,-0.2,2016
13,DEN,Donovan Mitchell,Louisville,4,278,0.439,0.362,0.829,33.7,23.4,4.1,4.3,21.8,0.112,1.8,9.1,2017
13,LAC,Jerome Robinson,Boston College,3,113,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.8,-1.1,2018
14,GSW,Anthony Randolph,LSU,6,252,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4,2008
14,PHO,Earl Clark,Louisville,6,261,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-2.8,-0.8,2009
14,HOU,Patrick Patterson,Kentucky,11,719,0.447,0.369,0.755,20.8,6.7,3.9,1,31.9,0.102,-0.1,7.4,2010
14,HOU,Marcus Morris,Kansas,10,664,0.435,0.379,0.763,26.9,12.2,4.6,1.5,34,0.091,-0.5,6.8,2011
14,MIL,John Henson,UNC,8,445,0.54,0.25,0.568,19.7,7.6,5.3,1.1,20.7,0.113,-0.4,3.4,2012
14,UTA,Shabazz Muhammad,UCLA,5,278,0.473,0.319,0.751,17.2,9,2.8,0.5,8.5,0.085,-2,0,2013
14,PHO,T.J. Warren,NC State,7,332,0.507,0.357,0.78,28.8,15.5,4.1,1.2,19.6,0.099,-0.2,4.2,2014
14,OKC,Cameron Payne,Murray State,6,221,0.426,0.372,0.822,16.8,6.8,2,2.8,6.3,0.081,-0.7,1.3,2015
14,CHI,Denzel Valentine,Michigan State,4,232,0.394,0.357,0.787,19.8,7.4,3.5,2,4.3,0.045,-1.9,0.1,2016
14,MIA,Bam Adebayo,Kentucky,4,287,0.559,0.159,0.738,27.3,12.4,8,3.5,28.3,0.173,2.7,9.4,2017
14,DEN,Michael Porter Jr.,Missouri,2,116,0.532,0.439,0.806,24.3,14.4,6.1,1,9.8,0.167,2.5,3.2,2018
15,PHO,Robin Lopez,Stanford,13,903,0.536,0.293,0.747,22.1,8.8,5,0.8,48.2,0.116,-1,4.9,2008
15,DET,Austin Daye,Gonzaga,6,293,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2,0,2009
15,MIL,Larry Sanders,VCU,6,238,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,2010
15,IND,Kawhi Leonard,San Diego State,10,576,0.493,0.384,0.858,31.3,19.2,6.4,2.9,83.3,0.222,6.8,40.1,2011
15,PHI,Maurice Harkless,St. John's,9,574,0.475,0.321,0.621,22.9,7,3.6,1,22.5,0.082,-0.7,4.3,2012
15,MIL,Giannis Antetokounmpo,,8,589,0.532,0.287,0.717,32.5,20.9,9.1,4.5,74.6,0.187,5.4,35.8,2013
15,ATL,Adreian Payne,Michigan State,4,107,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4,2014
15,ATL,Kelly Oubre Jr.,Kansas,6,403,0.433,0.326,0.764,25,11.5,4.4,1,14.3,0.068,-1.9,0.2,2015
15,DEN,Juan Hernangómez,,5,257,0.43,0.351,0.693,16.4,5.7,3.5,0.7,7.2,0.082,-2,0,2016
15,POR,Justin Jackson,UNC,4,248,0.427,0.321,0.797,19.1,6.6,2.5,1.1,5.3,0.053,-2.8,-1,2017
15,WAS,Troy Brown Jr.,Oregon,3,155,0.432,0.33,0.754,19.6,7.3,4.1,1.9,3.5,0.055,-2.1,-0.1,2018
16,PHI,Marreese Speights,Florida,10,705,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6,2008
