Pk,Tm,Player,College,Yrs,G,FG%,3P%,FT%,MP2,PTS3,TRB4,AST5,WS,WS/48,BPM,VORP,Year
37,MIL,Darington Hobson,New Mexico,1,5,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1,2010
37,LAC,Trey Thompkins,Georgia,1,24,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-5.7,-0.1,2011
37,TOR,Quincy Acy,Baylor,7,337,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-2,-0.1,2012
37,DET,Tony Mitchell,University of North Texas,1,21,0.417,1,0.579,3.8,1,1.2,0.1,0.2,0.151,0.4,0,2013
37,TOR,DeAndre Daniels,UConn,,,,,,,,,,,,,,2014
37,PHI,Richaun Holmes,Bowling Green,6,331,0.597,0.252,0.741,20.7,9.5,5.6,1.1,23.4,0.164,0.5,4.3,2015
37,HOU,Chinanu Onuaku,Louisville,2,6,0.583,,1,12.3,3,2.3,0.7,0.1,0.043,-5.4,-0.1,2016
37,BOS,Semi Ojeleye,SMU,4,254,0.394,0.349,0.701,14.6,3.5,2.1,0.5,5,0.064,-3.3,-1.2,2017
37,SAC,Gary Trent Jr.,Duke,3,134,0.417,0.393,0.778,24.2,11,2,1.1,3.9,0.058,-2,0,2018
38,CHA,Kyle Weaver,Washington State,3,73,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.1,0.3,2008
38,POR,Jon Brockman,Washington,3,150,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8,2009
38,NYK,Andy Rautins,Syracuse,1,5,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1,2010
38,HOU,Chandler Parsons,Florida,9,440,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2,2011
38,DEN,Quincy Miller,Baylor,3,69,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5,2012
38,WAS,Nate Wolters,South Dakota State,3,84,0.423,0.261,0.635,18.8,5.5,2.2,2.5,0.9,0.028,-2.6,-0.2,2013
38,DET,Spencer Dinwiddie,Colorado,7,320,0.41,0.318,0.794,25.7,12.9,2.8,5,18.4,0.107,0.3,4.8,2014
38,DET,Darrun Hilliard,Villanova,3,91,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6,2015
38,MIL,Patrick McCaw,UNLV,5,199,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6,2016
38,CHI,Jordan Bell,Oregon,4,160,0.552,0.2,0.636,12.1,3.7,3.1,1.3,4.9,0.121,0.2,1.1,2017
38,PHI,Khyri Thomas,Creighton,3,39,0.388,0.316,0.75,10.5,4.1,1,0.9,0.5,0.058,-2.7,-0.1,2018
39,CHI,Sonny Weems,Arkansas,4,183,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.8,2008
39,DET,Jonas Jerebko,,9,635,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,-1,2.9,2009
39,NYK,Landry Fields,Stanford,5,255,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6,2010
39,CHA,Jeremy Tyler,,3,104,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7,-1.3,2011
39,DET,Khris Middleton,Texas A&M,9,585,0.46,0.395,0.879,31.7,16.8,4.8,3.6,45.2,0.117,0.6,12.4,2012
39,POR,Jeff Withey,Kansas,5,206,0.525,0.143,0.716,10.1,3.2,2.5,0.3,6.8,0.157,0.5,1.3,2013
39,PHI,Jerami Grant,Syracuse,7,508,0.457,0.347,0.705,25.5,10.7,3.9,1.3,25.8,0.095,-0.6,4.4,2014
39,CHO,Juan Pablo Vaulet,,,,,,,,,,,,,,,2015
39,NOP,David Michineau,,,,,,,,,,,,,,,2016
39,PHI,Jawun Evans,Oklahoma State,2,56,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7,2017
39,PHI,Isaac Bonga,,3,128,0.44,0.302,0.769,14.1,3.3,2.4,0.9,1.6,0.043,-3.8,-0.8,2018
40,NJN,Chris Douglas-Roberts,Memphis,6,222,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.2,-0.2,2008
40,CHA,Derrick Brown,Xavier,3,171,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4,2009
40,IND,Lance Stephenson,Cincinnati,9,508,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-1.2,2.5,2010
40,MIL,Jon Leuer,Wisconsin,8,377,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2,2011
40,POR,Will Barton,Memphis,9,552,0.433,0.352,0.786,25.1,11.2,4.2,2.6,22.8,0.079,-0.2,6.1,2012
40,POR,Grant Jerrett,Arizona,1,8,0.269,0.067,1,6.4,2,1.1,0.4,-0.1,-0.128,-10.8,-0.1,2013
40,MIN,Glenn Robinson III,Michigan,7,304,0.457,0.373,0.779,17.4,5.9,2.6,0.8,7.9,0.071,-1.7,0.3,2014
40,MIA,Josh Richardson,Tennessee,6,373,0.427,0.358,0.832,30.6,12.3,3.2,2.8,20.3,0.085,-0.6,4.1,2015
40,NOP,Diamond Stone,Maryland,1,7,0.231,,1,3.4,1.4,0.9,0,-0.1,-0.211,-20.8,-0.1,2016
40,NOP,Dwayne Bacon,Florida State,4,207,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5,-3.1,2017
40,BRK,Rodions Kurucs,,3,131,0.444,0.329,0.739,16.1,6,3.1,0.9,2.3,0.052,-2.8,-0.4,2018
41,IND,Nathan Jawai,,2,45,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4.4,-0.3,2008
41,MIL,Jodie Meeks,Kentucky,10,539,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2,2009
41,MIA,Jarvis Varnado,Mississippi State,2,37,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1,2010
41,LAL,Darius Morris,Michigan,4,132,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.1,-1.2,2011
41,POR,Tyshawn Taylor,Kansas,2,61,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8,2012
41,MEM,Jamaal Franklin,San Diego State,2,24,0.415,0.462,1,7.3,1.8,1,0.4,0,-0.006,-5.9,-0.2,2013
41,DEN,Nikola Jokić,,6,453,0.533,0.347,0.835,29.9,18.5,9.8,6,64.4,0.228,7.9,34,2014
41,BRK,Pat Connaughton,Notre Dame,6,352,0.441,0.353,0.787,17.1,5.2,3.2,1.2,13.7,0.109,-0.4,2.4,2015
41,ORL,Stephen Zimmerman,UNLV,1,19,0.323,,0.6,5.7,1.2,1.8,0.2,0,-0.005,-8.3,-0.2,2016
41,ATL,Tyler Dorsey,Oregon,2,104,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5,2017
41,ORL,Jarred Vanderbilt,Kentucky,3,92,0.597,0.143,0.57,13.6,4.1,4.3,0.9,3.2,0.121,-1,0.3,2018
42,SAC,Sean Singletary,Virginia,1,37,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-5.1,-0.2,2008
42,LAL,Patrick Beverley,Arkansas,9,468,0.415,0.382,0.764,27.6,8.8,4.3,3.4,30.4,0.113,0.9,9.5,2009
42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,2010
42,IND,Dāvis Bertāns,,5,331,0.433,0.407,0.855,19.9,8.6,2.8,1.1,15.9,0.116,0.7,4.5,2011
42,MIL,Doron Lamb,Kentucky,2,100,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2,2012
42,PHI,Pierre Jackson,Baylor,1,8,0.333,0.273,0.857,10.5,4.4,1.1,2.4,0,0.021,-4.4,-0.1,2013
42,HOU,Nick Johnson,Arizona,1,28,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3,2014
42,UTA,Olivier Hanlan,Boston College,,,,,,,,,,,,,,2015
42,UTA,Isaiah Whitehead,Seton Hall,2,89,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4,2016
42,UTA,Thomas Bryant,Indiana,4,143,0.6,0.362,0.748,20.9,10.7,6,1.4,10.5,0.169,1.8,2.8,2017
42,DET,Bruce Brown,Miami (FL),3,197,0.471,0.298,0.74,23,7.2,4.1,2.2,7.9,0.084,-1.6,0.5,2018
43,SAC,Patrick Ewing,Georgetown,1,7,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0,2008
43,MIA,Marcus Thornton,LSU,8,483,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,0.2,6.2,2009
43,LAL,Devin Ebanks,West Virginia,3,63,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5,2010
43,CHI,Malcolm Lee,UCLA,3,36,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1,2011
43,ATL,Mike Scott,Virginia,9,555,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.8,0.6,2012
43,MIL,Ricky Ledo,Providence,2,28,0.336,0.371,0.769,9.9,3.9,1.4,0.8,-0.6,-0.096,-7.6,-0.4,2013
43,ATL,Edy Tavares,,2,13,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0,2014
43,IND,Joe Young,Oregon,3,127,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6,2015
43,HOU,Zhou Qi,,2,19,0.212,0.105,0.667,6.6,1.3,1.2,0.1,-0.2,-0.093,-9.6,-0.2,2016
43,HOU,Isaiah Hartenstein,,3,97,0.566,0.235,0.673,10.8,4.1,3.3,0.9,3.1,0.141,-1.5,0.1,2017
43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,2018
44,UTA,Ante Tomić,,,,,,,,,,,,,,,2008
44,DET,Chase Budinger,Arizona,7,407,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-0.5,2.9,2009
44,MIL,Jerome Jordan,Tulsa,2,65,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,-1,0.1,2010
44,GSW,Charles Jenkins,Hofstra,2,110,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8,2011
44,DET,Kim English,Missouri,1,41,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,2012
44,DAL,Mike Muscala,Bucknell,8,389,0.458,0.368,0.847,15.7,6,3.2,0.9,14.5,0.114,-0.3,2.7,2013
44,MIN,Markel Brown,Oklahoma State,3,113,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4,2014
44,PHO,Andrew Harrison,Kentucky,3,145,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6,2015
44,ATL,Isaïa Cordinier,,,,,,,,,,,,,,,2016
44,NYK,Damyean Dotson,Oregon,4,211,0.417,0.346,0.711,20,7.5,2.5,1.5,3,0.034,-2.8,-0.9,2017
44,WAS,Issuf Sanon,,,,,,,,,,,,,,,2018
45,SAS,Goran Dragić,,13,867,0.462,0.364,0.766,28,13.9,3.1,4.8,55.9,0.111,0.6,16.2,2008
45,MIN,Nick Calathes,Florida,2,129,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8,2009
45,MIN,Paulão Prestes,,,,,,,,,,,,,,,2010
45,NOH,Josh Harrellson,Kentucky,3,75,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.4,0.4,2011
45,PHI,Justin Hamilton,LSU,3,113,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5,2012
45,POR,Marko Todorović,,,,,,,,,,,,,,,2013
45,CHH,Dwight Powell,Stanford,7,429,0.569,0.29,0.744,18.5,7.5,4.5,1,29.8,0.18,1.4,6.7,2014
45,BOS,Marcus Thornton,William & Mary,,,,,,,,,,,,,,2015
45,BOS,Demetrius Jackson,Notre Dame,3,26,0.486,0.286,0.667,5.2,1.8,0.7,0.7,0.2,0.087,-0.5,0.1,2016
45,HOU,Dillon Brooks,Oregon,4,240,0.42,0.353,0.79,28.3,14,3,1.9,3.7,0.026,-4.1,-3.7,2017
45,BRK,Hamidou Diallo,Kentucky,3,149,0.463,0.294,0.627,17.8,7.5,3.6,1,2.8,0.05,-3.3,-0.8,2018
46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,2008
46,CLE,Danny Green,UNC,12,757,0.422,0.401,0.805,25.6,9,3.5,1.6,47.2,0.117,2,19.5,2009
46,PHO,Gani Lawal,Georgia Tech,1,1,,,,2,0,0,0,0,-0.009,-15,0,2010
46,LAL,Andrew Goudelock,College of Charleston,3,49,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3,2011
46,NOH,Darius Miller,Kentucky,6,271,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4,2012
46,UTA,Erick Green,Virginia Tech,2,52,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2,2013
46,WAS,Jordan Clarkson,Missouri,7,521,0.443,0.343,0.827,27,15.3,3.3,2.6,18.1,0.062,-0.5,5.3,2014
46,MIL,Norman Powell,UCLA,6,376,0.463,0.377,0.837,21.2,10.4,2.5,1.4,16.7,0.101,-0.2,3.6,2015
46,DAL,A.J. Hammons,Purdue,1,22,0.405,0.5,0.45,7.4,2.2,1.6,0.2,0,-0.001,-6.6,-0.2,2016
46,PHI,Sterling Brown,SMU,4,215,0.426,0.374,0.781,17.7,5.9,3.4,1.1,5.8,0.073,-2,0,2017
46,HOU,De'Anthony Melton,USC,3,162,0.412,0.35,0.775,19.7,7.3,3.2,2.9,4,0.06,-0.3,1.4,2018
47,WAS,Henry Walker,Kansas State,5,181,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.8,0.2,2008
47,MIN,Henk Norel,,,,,,,,,,,,,,,2009
47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,2010
47,LAC,Travis Leslie,Georgia,1,10,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0,2011
47,UTA,Kevin Murphy,Tennessee Technological University,1,17,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2,2012
47,ATL,Raul Neto,,6,317,0.452,0.382,0.817,15.4,5.6,1.5,1.9,8.6,0.084,-1.3,0.9,2013
47,PHI,Russ Smith,Louisville,2,27,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1,2014
47,PHI,Artūras Gudaitis,,,,,,,,,,,,,,,2015
47,ORL,Jake Layman,Maryland,5,209,0.464,0.306,0.719,13.7,5.2,1.8,0.6,3.7,0.062,-2.3,-0.2,2016
47,IND,Ike Anigbogu,UCLA,2,14,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0,2017
47,LAL,Sviatoslav Mykhailiuk,Kansas,3,164,0.4,0.362,0.764,18.5,7.3,1.8,1.5,1.8,0.028,-2.8,-0.6,2018
48,PHO,Malik Hairston,Oregon,2,62,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-2,0,2008
48,PHO,Taylor Griffin,Oklahoma,1,8,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-8.1,-0.1,2009
48,MIA,Latavious Williams,,,,,,,,,,,,,,,2010
48,ATL,Keith Benson,Oakland,1,3,0,,,3,0,1,0,0,-0.005,-7.7,0,2011
48,NYK,Kostas Papanikolaou,,2,69,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.7,-0.2,2012
48,LAL,Ryan Kelly,Duke,4,163,0.378,0.316,0.797,19.2,6,3.1,1.3,3,0.046,-2.6,-0.5,2013
48,MIL,Lamar Patterson,Pitt,2,40,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4,2014
48,OKC,Dakari Johnson,Kentucky,1,31,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1,2015
48,CHI,Paul Zipser,,2,98,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4,2016
48,MIL,Sindarius Thornwell,South Carolina,4,160,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5,2017
48,MIN,Keita Bates-Diop,Ohio State,3,104,0.429,0.302,0.694,14.3,5,2.5,0.6,1.9,0.061,-2.2,-0.1,2018
49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,2008
49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,2009
49,SAS,Ryan Richards,,,,,,,,,,,,,,,2010
49,MEM,Josh Selby,Kansas,2,38,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6,2011
49,ORL,Kyle O'Quinn,Norfolk State,8,472,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5,2012
49,CHI,Erik Murphy,Florida,1,24,0.231,0,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1,2013
49,CHI,Cameron Bairstow,New Mexico,2,36,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3,2014
49,WAS,Aaron White,Iowa,,,,,,,,,,,,,,2015
49,DET,Michael Gbinije,Syracuse,1,9,0.1,0,1,3.6,0.4,0.3,0.2,-0.1,-0.136,-12.1,-0.1,2016
49,DEN,Vlatko Čančar,,2,55,0.448,0.256,0.824,5.9,1.9,1.1,0.3,0.4,0.054,-3,-0.1,2017
49,SAS,Chimezie Metu,USC,3,83,0.48,0.317,0.74,8.9,4,2.2,0.6,0.6,0.039,-4,-0.4,2018
50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,2008
50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,2009
50,DAL,Solomon Alabi,Florida State,2,26,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-4.4,-0.1,2010
50,PHI,Lavoy Allen,Temple,6,388,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-2.1,-0.1,2011
50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,,,,2012
50,ATL,James Ennis,Cal State Long Beach,7,388,0.457,0.36,0.797,20.5,6.7,3.3,1,16.1,0.097,-1.5,0.9,2013
50,PHO,Alec Brown,Green Bay,,,,,,,,,,,,,,2014
50,ATL,Marcus Eriksson,,,,,,,,,,,,,,,2015
50,IND,Georges Niang,Iowa State,5,229,0.437,0.404,0.867,11.9,5.1,1.8,0.6,5.4,0.094,-0.6,1,2016
50,PHI,Mathias Lessort,,,,,,,,,,,,,,,2017
50,IND,Alize Johnson,Missouri State,3,49,0.496,0.313,0.774,7.6,2.9,3.2,0.4,1.2,0.155,-0.5,0.1,2018
51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,2008
51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,2009
51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,2010
51,POR,Jon Diebler,Ohio State,,,,,,,,,,,,,,2011
51,BOS,Kris Joseph,Syracuse,1,10,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1,2012
51,ORL,Romero Osby,Oklahoma,,,,,,,,,,,,,,2013
51,NYK,Thanasis Antetokounmpo,,3,79,0.497,0.175,0.485,8.7,2.9,1.9,0.8,0.9,0.061,-3.7,-0.3,2014
51,ORL,Tyler Harvey,Eastern Washington,,,,,,,,,,,,,,2015
51,BOS,Ben Bentil,Providence,1,3,0,0,,3.3,0,0.7,0,-0.1,-0.473,-25.9,-0.1,2016
51,DEN,Monte Morris,Iowa State,4,205,0.479,0.393,0.816,23.5,9.8,2.1,3.5,13.1,0.13,0.4,2.9,2017
51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,2018
52,MIA,Darnell Jackson,Kansas,3,138,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-5.2,-0.8,2008
52,IND,A.J. Price,UConn,6,261,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-1.3,0.7,2009
52,BOS,Luke Harangody,Notre Dame,2,70,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3,2010
52,DET,Vernon Macklin,Florida,1,23,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,1.2,0.1,2011
52,GSW,Ognjen Kuzmić,,2,37,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-5.6,-0.2,2012
52,MIN,Lorenzo Brown,NC State,5,103,0.364,0.17,0.707,11.5,2.8,1.5,1.8,-0.2,-0.007,-3.5,-0.5,2013
52,PHI,Vasilije Micić,,,,,,,,,,,,,,,2014
52,DAL,Satnam Singh,,,,,,,,,,,,,,,2015
52,UTA,Joel Bolomboy,Weber State,2,18,0.545,0.2,0.5,5.1,1.7,1.5,0.1,0.3,0.132,-0.1,0,2016
52,NOP,Edmond Sumner,Xavier,4,108,0.474,0.333,0.728,14.1,5.7,1.5,1.1,1.9,0.061,-3.2,-0.5,2017
52,UTA,Vince Edwards,Purdue,1,2,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0,2018
53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,2008
53,SAS,Nando De Colo,,2,119,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5,2009
53,ATL,Pape Sy,,1,3,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0,2010
53,ORL,DeAndre Liggins,Kentucky,5,177,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2.2,-0.1,2011
53,LAC,Furkan Aldemir,,1,41,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-3.6,-0.2,2012
53,IND,Colton Iverson,Colorado State,,,,,,,,,,,,,,2013
53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,2014
53,CLE,Sir'Dominic Pointer,St. John's,,,,,,,,,,,,,,2015
53,DEN,Petr Cornelie,,,,,,,,,,,,,,,2016
53,BOS,Kadeem Allen,Arizona,3,47,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1,0.2,2017
53,OKC,Devon Hall,Virginia,1,11,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.4,-0.1,2018
54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,2008
54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,2009
54,LAC,Willie Warren,Oklahoma,1,19,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0,2010
54,CLE,Milan Mačvan,,,,,,,,,,,,,,,2011
54,PHI,Tornike Shengelia,,2,45,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-7,-0.3,2012
54,WAS,Arsalan Kazemi,Oregon,,,,,,,,,,,,,,2013
54,PHI,Nemanja Dangubić,,,,,,,,,,,,,,,2014
54,UTA,Dani Díez,,,,,,,,,,,,,,,2015
54,ATL,Kay Felder,Oakland,2,58,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4,2016
54,PHO,Alec Peters,Valparaiso,1,20,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0,2017
54,DAL,Shake Milton,SMU,3,123,0.454,0.374,0.815,20.6,10.4,2.2,2.6,5.2,0.099,-1.9,0.1,2018
55,POR,Mike Taylor,Iowa State,1,51,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6,2008
55,POR,Patty Mills,Saint Mary's,12,739,0.429,0.388,0.858,19.8,8.9,1.7,2.3,32.5,0.106,0.3,8.6,2009
55,UTA,Jeremy Evans,Western Kentucky,7,250,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9,2010
55,BOS,E'Twaun Moore,Purdue,10,598,0.455,0.388,0.742,21,7.9,2,1.8,14.8,0.057,-1.9,0.2,2011
55,DAL,Darius Johnson-Odom,Marquette,2,7,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-25.5,-0.1,2012
55,MEM,Joffrey Lauvergne,,4,208,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.1,-0.1,2013
55,MIA,Semaj Christon,Xavier,1,64,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8,2014
55,SAS,Cady Lalanne,UMass,,,,,,,,,,,,,,2015
55,BRK,Marcus Paige,UNC,1,5,0.286,0.25,1,5.6,2.4,0.8,0.6,0,-0.006,-8.8,0,2016
55,UTA,Nigel Williams-Goss,Gonzaga,1,10,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0,2017
55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,2018
56,SEA,Sasha Kaun,Kansas,1,25,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0,2008
56,DAL,Ahman Nivins,Saint Joseph's,,,,,,,,,,,,,,2009
56,MIN,Hamady N'Diaye,Rutgers University,3,33,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-7.3,-0.2,2010
56,LAL,Chukwudiebere Maduabum,,,,,,,,,,,,,,,2011
56,TOR,Tomislav Zubčić,,,,,,,,,,,,,,,2012
56,DET,Peyton Siva,Louisville,1,24,0.316,0.28,0.733,9.3,2.3,0.6,1.4,-0.2,-0.032,-6.4,-0.2,2013
56,DEN,Devyn Marble,Iowa,2,44,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4,2014
56,NOP,Branden Dawson,Michigan State,1,6,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0,2015
56,DEN,Daniel Hamilton,UConn,2,25,0.394,0.357,0.5,9.3,2.8,2.1,1.2,0,0,-3.3,-0.1,2016
56,BOS,Jabari Bird,California,1,13,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0,2017
56,PHI,Ray Spalding,Louisville,2,16,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-5.7,-0.2,2018
57,SAS,James Gist,Maryland,,,,,,,,,,,,,,2008
57,PHO,Emir Preldžić,,,,,,,,,,,,,,,2009
57,IND,Ryan Reid,Florida State,1,5,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-2,0,2010
57,DAL,Tanguy Ngombo,,,,,,,,,,,,,,,2011
57,NJN,İlkan Karaman,,,,,,,,,,,,,,,2012
57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,2013
57,IND,Louis Labeyrie,,,,,,,,,,,,,,,2014
57,DEN,Nikola Radičević,,,,,,,,,,,,,,,2015
57,MEM,Wang Zhelin,,,,,,,,,,,,,,,2016
57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,2017
57,OKC,Kevin Hervey,UT Arlington,1,10,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0,2018
58,LAL,Joe Crawford,Kentucky,1,2,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-2.7,0,2008
