ID,active_from,active_to,birth_date,college,height (in),name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_efgpct,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,NBA Games Played,fg%,ppg,effective pct,height/weight,3pt %,Success
398,2018,2018,11-Jan-93,University of Oregon,82,Chris Boucher,F,182,1,0,0,0,0,0,1,,0,0,1,0,3.2,0.344,1.1,0.59,8.2,0.532,4.3,0.641,3.4,2.2,69,12,7.10E-05,0,0,0,0.09010989,0,0.090180913
401,2000,2002,31-Mar-77,Old Dominion University,82,Cal Bowdler,F,245,0.1,0.182,0,0.407,0.404,1.1,2.8,0.768,0.7,0.9,142,3,1.2,0.264,0.3,0.48,6.8,0.451,3.1,0.625,3.5,2.2,118,8.6,0.010085227,0.0808,0.029900332,0.054266667,0.066938776,0.0182,0.260191002
402,1997,2009,14-Jun-71,"California State University, Fullerton",79,Bruce Bowen,F,185,2.4,0.393,0.9,0.494,0.409,2.2,5.5,0.575,0.7,1.2,873,6.1,1.5,0.283,0.4,0.45,8.8,0.433,3.8,0.695,4.9,3.4,101,11.4,0.062002841,0.0818,0.060797342,0.065866667,0.085405405,0.0393,0.395172255
403,2000,2010,20-Nov-75,University of Iowa,79,Ryan Bowen,F,215,0.1,0.206,0,0.462,0.456,1.1,2.4,0.693,0.4,0.6,507,2.6,0.4,0.375,0.2,0.59,5.8,0.575,3.3,0.685,3.4,2.4,120,9.1,0.036008523,0.0912,0.025913621,0.0616,0.073488372,0.0206,0.308810516
408,2000,2002,11-Jun-73,"Providence College, University of Pennsylvania",77,Ira Bowman,G,195,0.1,0,0,0.636,0.636,0.4,0.6,0.5,0.1,0.1,17,0.9,1.2,0.348,0.4,0.53,6.6,0.502,3.3,0.681,3.4,2.3,98,9.4,0.001207386,0.1272,0.0089701,0.0848,0.078974359,0,0.301151845
410,1996,1997,2-Sep-73,University of Colorado,77,Donnie Boyce,G,196,0.8,0.25,0.2,0.384,0.349,1,2.9,0.5,0.4,0.9,30,2.6,3.9,0.308,1.2,0.46,15.4,0.421,6.5,0.666,6.7,4.5,107,18.6,0.002130682,0.0698,0.025913621,0.0512,0.078571429,0.025,0.252615732
414,1999,2012,2-Jun-76,Eastern Michigan University,65,Earl Boykins,G,135,1.7,0.348,0.6,0.455,0.417,3.2,7.6,0.876,1.9,2.2,652,8.9,4.2,0.353,1.5,0.49,14.2,0.439,6.2,0.803,5.2,4.2,122,18.1,0.046306818,0.0834,0.088704319,0.060666667,0.096296296,0.0348,0.4101741
417,2007,2007,7-Mar-83,"University of California, Los Angeles",78,Cedric Bozeman,G,207,0.6,0.154,0.1,0.308,0.282,0.5,1.7,0.333,0.1,0.3,23,1.1,1.3,0.321,0.4,0.47,5.9,0.435,2.6,0.584,1.8,1,106,6.6,0.001633523,0.0564,0.010963455,0.041066667,0.075362319,0.0154,0.200825963
419,2011,2012,9-Oct-87,Iowa State University,82,Craig Brackins,F,230,0.8,0.214,0.2,0.296,0.265,0.8,2.9,0.5,0.1,0.1,17,1.8,2.5,0.292,0.7,0.47,13.4,0.445,6,0.726,4.7,3.4,96,16,0.001207386,0.053,0.017940199,0.039466667,0.071304348,0.0214,0.2043186
423,2011,2018,26-Nov-90,University of Texas at Austin,74,Avery Bradley,G,180,3.5,0.366,1.3,0.496,0.439,5,11.3,0.772,1.1,1.4,459,12.3,3.3,0.375,1.2,0.49,10.8,0.432,4.7,0.545,1.9,1.1,34,11.6,0.032599432,0.0878,0.122591362,0.066133333,0.082222222,0.0366,0.427946349
